,,,,,,,,,
か06_クラウンヒルズ,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,5,4,4,4,3,4,3,4,5
IN,4,5,3,4,4,4,3,4,5
,,,,,,,,,
は01_パインレーク,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,3,4,5,3,4,4,4,5
IN,4,5,3,4,4,4,3,5,4
,,,,,,,,,
さ01_ジャパンビレッジ,H1,H2,H3,H4,H5,H6,H7,H8,H9
東,4,5,4,3,4,4,3,4,5
西,4,4,3,5,4,4,5,3,4
南,4,3,4,5,4,3,4,4,5
,,,,,,,,,
は03_鳳鳴カントリークラブ,H1,H2,H3,H4,H5,H6,H7,H8,H9
東,5,4,4,3,4,5,4,3,4
中,4,5,4,3,4,4,5,3,4
西,5,3,4,3,5,4,3,4,5
,,,,,,,,,
か07_グランベール EAST,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,5,4,4,3,4,4,3,5,4
IN,5,3,4,4,5,4,4,3,4
,,,,,,,,,
か08_グランベール WEST,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,5,4,3,5,4,3,4,4,4
IN,4,5,4,3,4,5,3,4,4
,,,,,,,,,
か05_協和ゴルフクラブ,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,5,4,4,3,4,3,4,5
IN,5,3,5,4,3,4,4,4,4
,,,,,,,,,
や02_吉川カントリー倶楽部,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,5,3,4,5,3,4,4,4
IN,5,4,3,4,4,3,5,4,4
,,,,,,,,,
ら03_レイクフォレスト バード,H1,H2,H3,H4,H5,H6,H7,H8,H9
楠,5,4,3,4,3,4,5,3,5
樫,5,4,3,4,4,4,3,4,5
松,5,3,4,4,4,4,4,3,5
,,,,,,,,,
ら02_レイクフォレスト センチュリー,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,3,4,5,4,4,3,5,4
IN,4,5,4,3,5,4,4,3,4
,,,,,,,,,
か04_京都大原パブリック,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,4,3,4,3,4,5,4,5
IN,4,5,3,4,4,3,4,5,4
,,,,,,,,,
ら01_ライオンズカントリー倶楽部,H1,H2,H3,H4,H5,H6,H7,H8,H9
レッド,4,4,3,5,4,3,5,4,4
ホワイト,4,3,4,5,4,3,4,5,4
ブルー,4,3,4,4,4,5,3,4,5
,,,,,,,,,
あ02_ウエストワンズ,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,5,3,4,3,4,4,4,4,5
IN,4,3,4,4,3,5,4,4,5
,,,,,,,,,
さ02_セントレイクス,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,4,3,4,5,4,4,3,5
IN,4,5,3,4,5,4,4,3,4
,,,,,,,,,
か02_キャニオン上野コース,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,4,4,5,3,5,4,3,4
IN,4,3,5,4,4,4,3,5,4
,,,,,,,,,
あ01_池田カントリークラブ,H1,H2,H3,H4,H5,H6,H7,H8,H9
五月平,4,5,4,4,4,3,5,3,4
綾羽,4,5,4,5,3,4,4,3,4
衣懸,4,3,4,4,3,5,4,4,5
,,,,,,,,,
は02_ベニーカントリー倶楽部,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,3,4,4,3,5,4,5,4
IN,4,5,4,3,4,3,5,4,4
,,,,,,,,,
や01_ヤシロカントリークラブ,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,4,4,5,3,5,4,3,4
IN,5,3,4,4,4,3,4,4,5
,,,,,,,,,
か01_亀岡カントリークラブ,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,5,4,3,4,4,4,3,5,4
IN,4,4,3,5,4,4,3,4,5
,,,,,,,,,
た80_東条ゴルフ倶楽部,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,5,4,3,4,3,5,4,4,4
IN,5,4,4,3,4,4,3,4,5
,,,,,,,,,
か06_グランドオークプレーヤーズ,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,4,5,3,4,4,4,5,3,4
IN,4,4,3,5,4,4,3,5,4
,,,,,,,,,
さ58_センチュリー,H1,H2,H3,H4,H5,H6,H7,H8,H9
OUT,5,4,4,4,4,3,4,3,5
IN,4,5,4,4,3,5,3,4,4
